disc_year,hostname,pl_dens,pl_letter,pl_massj,pl_orbper,pl_orbsmax,pl_radj,st_lum,st_rad,st_spectype,sy_bmag,sy_dist,sy_vmag
2016,"Kepler-1287",,"b",,11.47685909,,0.137,,0.94,,15.9620000,1003.2600000,15.2160000
2016,"Kepler-271",,"d",,5.24972541,,0.059,,0.87,,14.3700000,404.5420000,13.5780000
2005,"AB Pic",,"b",13.50000,,260.000000,,,,"K2 V",10.1480000,50.0475000,9.1300000
2016,"OGLE-2012-BLG-0950L",,"b",0.11000,,2.600000,,,,"M V",,2600.0000000,
2019,"KMT-2018-BLG-1990L",,"b",0.34800,,0.763000,,,,"M",,967.0000000,
2012,"OGLE-2011-BLG-0251L",,"b",0.53000,,2.720000,,,,"M",,2570.0000000,
2004,"OGLE-2003-BLG-235L",,"b",2.60000,,4.300000,,,,"K V",,5800.0000000,
2013,"MOA-2008-BLG-379L",,"b",4.10000,,2.700000,,,,"K",,3300.0000000,
2020,"GJ 9689",,"b",,18.27000000,0.113900,,-1.200,0.57,"M0.5",12.7280000,30.6203000,11.2970000
2016,"Kepler-582",,"b",,18.49235668,,0.328,,0.91,,16.2250000,613.1790000,15.0970000
2016,"Kepler-1160",,"b",,7.97034958,,0.191,,0.89,,16.9360000,1077.6300000,16.0060000
2016,"Kepler-1033",,"b",,7.56052806,,0.224,,0.92,,16.9960000,1455.5000000,16.1860000
2016,"Kepler-831",,"b",,5.62153941,,0.113,,0.97,,14.2440000,593.5400000,13.7510000
2016,"Kepler-1056",,"b",,27.49560600,,0.269,,1.20,,15.4260000,982.5100000,14.7720000
2016,"Kepler-1288",,"b",,2.76122421,,0.100,,1.29,,13.7720000,814.0780000,13.1990000
2016,"Kepler-1291",,"b",,8.63043276,,0.148,,0.80,,16.5110000,897.3520000,16.2610000
2016,"Kepler-1477",,"b",,11.55530021,,0.105,,0.78,,15.4680000,680.8280000,14.7200000
2014,"Kepler-165",,"b",,8.18084800,0.072000,0.207,,0.77,,15.7000000,560.8850000,15.0500000
2014,"Kepler-194",,"c",,17.30803200,0.131000,0.231,,1.02,,15.8690000,1097.9700000,14.9690000
2014,"Kepler-153",,"b",,18.87022700,0.129000,0.261,,0.89,,15.6080000,459.3680000,14.3880000
2014,"Kepler-202",,"c",,16.28249300,0.113000,0.165,,0.67,,15.2320000,285.1110000,14.1780000
2014,"Kepler-245",,"d",,36.27710800,0.202000,0.270,,0.80,,16.9110000,861.5270000,15.5460000
2014,"Kepler-215",,"b",,9.36067200,0.084000,0.145,,1.03,,14.3000000,485.9970000,13.6780000
2014,"Kepler-229",,"b",,6.25297200,0.062000,0.196,,0.73,,16.8840000,826.2650000,16.2200000
2014,"Kepler-267",,"b",,3.35372800,0.037000,0.177,,0.56,,17.5630000,264.9930000,16.6900000
2014,"Kepler-301",,"b",,2.50855300,0.036000,0.120,,0.90,,14.8430000,719.1660000,14.4580000
2014,"Kepler-298",,"b",,10.47546400,0.080000,0.175,,0.58,,17.3750000,518.2040000,15.6170000
2014,"Kepler-294",,"c",,6.62640000,0.071000,0.242,,0.98,,16.8920000,1357.0100000,15.9480000
2014,"Kepler-291",,"b",,3.54651100,0.047000,0.193,,1.02,,16.8160000,1786.4800000,16.2180000
2014,"Kepler-276",,"b",,14.12841000,0.119000,0.256,,1.05,,15.2280000,1144.8600000,15.4810000
2014,"Kepler-341",,"d",,27.66631300,0.182000,0.165,,1.02,,15.4900000,1047.0300000,14.7390000
2014,"Kepler-270",,"c",,25.26288700,0.180000,0.158,,1.46,,14.6520000,948.7810000,13.9000000
2014,"Kepler-286",,"e",,29.22128900,0.176000,0.158,,0.86,,16.6370000,1226.8500000,15.8630000
2014,"Kepler-400",,"c",,17.34082400,0.134000,0.133,,1.15,,14.5830000,845.9700000,13.7620000
2014,"Kepler-402",,"d",,8.92109900,0.087000,0.123,,1.26,,13.8840000,625.3390000,13.2700000
2016,"Kepler-754",,"b",,14.55962370,,0.179,,1.08,,15.8940000,1770.2700000,15.3520000
2016,"Kepler-857",,"b",,85.35129427,,0.607,,0.99,,15.5430000,983.5020000,15.1670000
2016,"Kepler-918",,"b",,4.85386933,,0.155,,1.14,,15.8700000,1025.0300000,15.0640000
2016,"Kepler-766",,"b",,6.10027804,,0.302,,1.15,,16.0320000,2297.6200000,15.8250000
2016,"Kepler-1021",,"b",,13.47469571,,0.208,,0.86,,15.9070000,810.0820000,15.2070000
2016,"Kepler-825",,"b",,3.77360059,,0.136,,1.08,,14.7050000,807.8500000,14.2960000
2016,"Kepler-822",,"b",,3.22296927,,0.158,,1.08,,15.3640000,860.3910000,14.7500000
2014,"Kepler-124",,"b",,3.41049300,0.039000,0.065,,0.64,,15.5220000,420.0460000,14.4000000
2016,"Kepler-816",,"b",,10.50682565,,0.914,,0.85,,16.8710000,983.6970000,16.3650000
2016,"Kepler-1122",,"b",,42.19173570,,0.182,,0.89,,16.1290000,1230.4200000,15.4050000
2016,"Kepler-898",,"b",,5.87061910,,0.133,,0.62,,17.8050000,484.8910000,16.6950000
2016,"Kepler-967",,"b",,13.22713379,,0.210,,0.80,,15.7200000,568.5460000,14.7020000
2016,"Kepler-1060",,"b",,46.87793670,,0.212,,0.99,,15.6620000,946.5650000,14.8270000
2016,"Kepler-1205",,"b",,1.07839035,,0.126,,0.81,,16.2530000,698.4850000,15.3160000
2016,"Kepler-1342",,"b",,2.21571036,,0.148,,0.90,,16.4820000,890.7240000,15.7260000
2016,"Kepler-640",,"b",,22.24813967,,0.228,,0.94,,14.7170000,557.7870000,13.8850000
2016,"Kepler-569",,"b",,34.18890521,,0.282,,0.93,,15.4920000,638.3010000,14.2440000
2014,"Kepler-309",,"c",,105.35638300,0.401000,0.224,,0.72,,16.4580000,544.5680000,15.4180000
2016,"Kepler-742",,"b",,8.36086824,,0.289,,0.71,,16.8210000,489.2530000,15.3570000
2013,"Kepler-69",,"b",,13.72234100,0.094000,0.200,-0.097,0.93,"G4 V",14.6550000,730.6250000,13.8660000
2014,"Kepler-232",,"c",,11.37934900,0.101000,0.342,,0.97,,16.1710000,1349.1300000,15.5650000
2014,"Kepler-240",,"b",,4.14449500,0.048000,0.122,,0.74,,16.9940000,746.9270000,15.9530000
2014,"Kepler-273",,"c",,8.01492700,0.073000,0.177,,0.81,,15.8970000,713.9640000,15.1000000
2014,"Kepler-247",,"b",,3.33616000,0.042000,0.146,,0.77,,16.2380000,663.7110000,15.1990000
2014,"Kepler-312",,"c",,19.74741200,0.153000,0.281,,1.47,,13.4880000,797.7200000,13.0100000
2014,"Kepler-316",,"c",,6.82776600,0.058000,0.103,,0.52,,17.1570000,384.9380000,15.8100000
2014,"Kepler-331",,"b",,8.45749600,0.065000,0.162,,0.49,,17.1830000,580.1190000,16.1990000
2016,"Kepler-669",,"b",,4.12554687,,0.431,,1.20,,16.7590000,2063.4100000,15.7420000
2021,"HD 93385",,"b",,7.34260000,0.075600,,0.207,,"G2/G3 V",8.0860000,43.3475000,7.4900000
2021,"HD 93385",,"c",,13.18000000,0.112000,,0.207,,"G2/G3 V",8.0860000,43.3475000,7.4900000
2021,"HD 93385",,"d",,45.85000000,0.256500,,0.207,,"G2/G3 V",8.0860000,43.3475000,7.4900000
2021,"HD 96700",,"b",,8.12450000,0.077700,,0.140,,"G0 V",7.1130000,25.4111000,6.5100000
2021,"HD 96700",,"c",,19.88000000,0.141000,,0.140,,"G0 V",7.1130000,25.4111000,6.5100000
2021,"HD 96700",,"d",,103.50000000,0.424000,,0.140,,"G0 V",7.1130000,25.4111000,6.5100000
2021,"HD 189567",,"b",,14.28800000,0.111000,,0.324,,"G3 V",6.7070000,17.9055000,6.0740000
2021,"HD 189567",,"c",,33.68800000,0.197000,,0.324,,"G3 V",6.7070000,17.9055000,6.0740000
2016,"Kepler-671",,"b",,4.28095859,,0.240,,0.95,,15.4880000,1168.2600000,15.4910000
2016,"Kepler-673",,"b",,3.72873109,,0.583,,0.84,,16.4370000,918.2100000,15.5920000
2016,"Kepler-683",,"b",,2.53918318,,0.176,,0.95,,15.5500000,1023.0700000,15.0720000
2016,"Kepler-682",,"b",,12.61190667,,0.658,,0.89,,16.3670000,1979.2500000,15.5560000
2016,"Kepler-463",,"b",,8.98101683,,0.272,,0.90,,13.8340000,394.8040000,12.9990000
2016,"Kepler-1554",,"b",,198.08877400,,0.259,,0.81,,16.7620000,946.8470000,15.9300000
2016,"Kepler-1328",,"b",,4.52158888,,0.087,,0.99,,14.7870000,813.5430000,13.9690000
2016,"Kepler-698",,"b",,16.32976218,,0.328,,0.91,,16.0420000,1995.5700000,15.7160000
2016,"Kepler-473",,"b",,14.55731705,,0.364,,1.34,,14.8130000,905.9370000,13.5480000
2016,"Kepler-588",,"b",,4.22162536,,0.235,,1.00,,15.4610000,1209.4000000,14.8000000
2016,"Kepler-1150",,"b",,2.78786839,,0.091,,0.72,,15.0370000,358.5180000,14.7480000
