rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_disc,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_bmvj,st_bmvjerr,st_bmvjlim,st_bmvjblend
510,HD 47186,c,Radial Velocity,2,1353.60000000,57.10000000,-57.10000000,0,2.395000,,,0,0.249000,0.073000,-0.073000,0,,,,,0.35061,,,0,Msini,,,,,,,,,0,0,0,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.84,1.21,-1.29,0,7.626,0.010,0,0,V (Johnson),5675.00,21.00,-21.00,0,0,0.99,,,0,0,,,,,0,2015-03-26,,,,,2008,4.50,G5 V,,0,0,1.080,0.029,-0.029,0,0,0.733,0.018,0,0
511,HD 4732,b,Radial Velocity,2,360.20000000,1.40000000,-1.40000000,0,1.190000,0.050000,-0.050000,0,0.130000,0.060000,-0.060000,0,,,,,2.37000,0.34000,-0.34000,0,Msini,,,,,,,,,0,0,0,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,56.50,2.99,-3.35,0,5.890,0.009,0,0,V (Johnson),4959.00,25.00,-25.00,0,0,1.74,0.20,-0.14,0,0,5.40,0.40,-0.40,0,0,2014-05-14,,,,,2012,5.00,K0 IV,,0,0,1.190,,,0,0,0.962,0.017,0,0
512,HD 4732,c,Radial Velocity,2,2732.00000000,81.00000000,-81.00000000,0,4.600000,0.230000,-0.230000,0,0.230000,0.070000,-0.070000,0,,,,,2.37000,0.38000,-0.38000,0,Msini,,,,,,,,,0,0,0,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,56.50,2.99,-3.35,0,5.890,0.009,0,0,V (Johnson),4959.00,25.00,-25.00,0,0,1.74,0.20,-0.14,0,0,5.40,0.40,-0.40,0,0,2014-05-14,,,,,2012,5.00,K0 IV,,0,0,1.190,,,0,0,0.962,0.017,0,0
513,HD 47536,b,Radial Velocity,1,712.13000000,0.31000000,-0.31000000,0,1.930000,0.320000,-0.320000,0,0.200000,0.080000,-0.080000,0,,,,,7.32000,2.36000,-2.36000,0,Msini,,,,,,,,,0,0,0,06h37m47.62s,99.448410,-32d20m23.0s,-32.339733,121.36,7.72,-8.85,0,5.250,,0,0,V (Johnson),4424.00,16.00,-16.00,0,0,0.91,0.03,-0.03,0,0,22.39,1.05,-1.05,0,0,2015-03-26,,,,,2002,5.10,K1 III,,0,0,2.270,0.090,-0.090,0,0,1.180,,0,0
514,HD 48265,b,Radial Velocity,1,762.00000000,50.00000000,-50.00000000,0,1.600000,,,,0.240000,0.100000,-0.100000,0,,,,,1.20000,,,0,Msini,,,,,,,,,0,0,0,06h40m01.73s,100.007195,-48d32m31.0s,-48.541954,87.41,5.18,-5.87,0,8.050,,0,0,V (Johnson),5789.00,16.00,-16.00,0,0,1.22,0.05,-0.05,0,0,1.82,0.09,-0.09,0,0,2015-03-26,,,,,2008,4.50,G5 V,,0,0,0.510,0.080,-0.080,0,0,0.747,,0,0
515,HD 49674,b,Radial Velocity,1,4.94737000,0.00098000,-0.00098000,0,0.058000,0.003400,-0.003400,0,0.087000,0.095000,-0.095000,0,,,,,0.10500,0.01100,-0.01100,0,Msini,,,,,,,,,0,0,0,06h51m30.52s,102.877151,+40d52m03.9s,40.867756,40.73,1.81,-1.98,0,,,,,,,,,,,,,,,,,,,,,2014-07-23,,,,,2002,4.50,G5 V,,0,0,,,,,,0.730,0.022,0,0
516,HD 50499,b,Radial Velocity,1,2482.70000000,110.00000000,-110.00000000,0,3.860000,0.600000,-0.600000,0,0.230000,0.140000,-0.140000,0,,,,,1.71000,0.20000,-0.20000,0,Msini,,,,,,,,,0,0,0,06h52m02.03s,103.008438,-33d54m56.0s,-33.915562,47.26,1.47,-1.57,0,7.195,0.010,0,0,V (Johnson),,,,,0,1.24,0.10,-0.10,0,0,,,,,0,2014-12-17,,,,,2005,4.10,G0/2 V,,0,0,,,,,0,0.621,0.019,0,0
517,HD 50554,b,Radial Velocity,1,1293.00000000,37.00000000,-37.00000000,0,2.353000,0.045200,-0.045200,0,0.501000,0.030000,-0.030000,0,,,,,4.95400,0.38900,-0.38900,0,Msini,,,,,,,,,0,0,0,06h54m42.82s,103.678436,+24d14m44.0s,24.245558,31.03,0.94,-1.00,0,6.840,0.020,0,0,V (Johnson),5987.00,70.00,-70.00,0,0,1.04,0.01,-0.01,0,0,1.02,0.02,-0.02,0,0,2014-11-19,,,,,2002,3.80,F8,,0,0,0.143,0.063,-0.063,0,0,0.570,0.020,0,0
518,HD 52265,b,Radial Velocity,1,119.60000000,0.42000000,-0.42000000,0,0.500000,,,0,0.350000,0.030000,-0.030000,0,,,,,1.05000,0.03000,-0.03000,0,Msini,,,,,,,,,0,0,0,07h00m18.04s,105.075150,-05d22m01.8s,-5.367162,28.07,0.65,-0.68,0,6.300,,0,0,V (Johnson),6060.00,50.00,-50.00,0,0,1.18,,,0,0,1.10,,,0,0,2015-03-26,,,,,2000,4.00,G0 V,,0,0,0.297,,,0,0,0.570,,0,0
519,HD 5319,b,Radial Velocity,2,641.00000000,2.00000000,-2.00000000,0,1.669700,0.003600,-0.003600,0,0.020000,0.030000,-0.030000,0,,,,,1.76000,0.07000,-0.07000,0,Msini,,,,,,,,,0,0,0,00h55m01.40s,13.755836,+00d47m22.4s,0.789553,114.00,11.00,-11.00,0,8.050,,0,0,V (Johnson),4958.00,44.00,-44.00,0,0,1.51,0.11,-0.11,0,0,3.85,0.40,-0.40,0,0,2014-12-03,,,,,2007,5.30,K3 IV,,0,0,0.908,0.078,-0.096,0,0,0.990,,0,0
520,HD 5319,c,Radial Velocity,2,886.00000000,8.00000000,-8.00000000,0,2.071000,0.013000,-0.013000,0,0.150000,0.060000,-0.060000,0,,,,,1.15000,0.08000,-0.08000,0,Msini,,,,,,,,,0,0,0,00h55m01.40s,13.755836,+00d47m22.4s,0.789553,114.00,11.00,-11.00,0,8.050,,0,0,V (Johnson),4958.00,44.00,-44.00,0,0,1.51,0.11,-0.11,0,0,3.85,0.40,-0.40,0,0,2014-12-03,,,,,2014,5.30,K3 IV,,0,0,0.908,0.078,-0.096,0,0,0.990,,0,0
521,HD 5608,b,Radial Velocity,1,792.60000000,7.70000000,-7.70000000,0,1.900000,,,0,0.190000,0.061000,-0.061000,0,,,,,1.40000,,,0,Msini,,,,,,,,,0,0,0,00h58m14.22s,14.559246,+33d57m03.2s,33.950886,58.17,2.68,-2.95,0,5.980,0.010,0,0,V (Johnson),4854.00,25.00,,0,,1.55,0.23,,0,,5.50,0.40,,0,,2015-09-03,,,,,2012,5.00,K0,,0,0,1.179,,,0,,1.016,0.018,0,0
522,HD 564,b,Radial Velocity,1,492.30000000,2.30000000,-2.30000000,0,1.200000,0.020000,-0.020000,0,0.096000,0.067000,-0.067000,0,,,,,0.33000,0.03000,-0.03000,0,Msini,,,,,,,,,0,0,0,00h09m52.82s,2.470091,-50d16m04.2s,-50.267822,53.60,,,0,8.290,,0,0,V (Johnson),5902.00,61.00,-61.00,0,0,0.96,0.05,-0.05,0,0,1.01,0.05,-0.05,0,0,2015-01-08,,,,,2014,4.25,G2/G3 V,,0,0,,,,,0,0.610,,0,0
523,HD 5891,b,Radial Velocity,1,177.11000000,0.32000000,-0.32000000,0,0.760000,0.020000,-0.020000,0,0.066000,0.022000,-0.022000,0,,,,,7.60000,0.40000,-0.40000,0,Msini,,,,,,,,,0,0,0,01h00m33.19s,15.138300,+20d17m32.9s,20.292484,150.60,23.21,-33.56,0,8.114,0.014,0,0,V (Johnson),,,,,,,,,,,,,,,,2014-05-14,,,,,2011,4.50,G5,,0,0,,,,,,0.999,0.026,0,0
524,HD 60532,b,Radial Velocity,2,201.30000000,0.60000000,-0.60000000,0,0.759000,0.001000,-0.001000,0,0.280000,0.030000,-0.030000,0,,,,,1.03000,0.05000,-0.05000,0,Msini,,,,,,,,,0,0,0,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.70,0.43,-0.44,0,4.450,,0,0,V (Johnson),6095.00,,,0,0,1.44,0.03,-0.10,0,0,,,,,,2014-05-14,,,,,2008,3.60,F6 IV,,0,0,,,,,,0.510,,0,0
525,HD 60532,c,Radial Velocity,2,604.00000000,9.00000000,-9.00000000,0,1.580000,0.020000,-0.020000,0,0.020000,0.020000,-0.020000,0,,,,,2.46000,0.09000,-0.09000,0,Msini,,,,,,,,,0,0,0,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.70,0.43,-0.44,0,4.450,,0,0,V (Johnson),6095.00,,,0,0,1.44,0.03,-0.10,0,0,,,,,,2014-05-14,,,,,2008,3.60,F6 IV,,0,0,,,,,,0.510,,0,0
526,HD 62509,b,Radial Velocity,1,589.64000000,0.81000000,-0.81000000,0,1.640000,0.270000,-0.270000,0,0.020000,0.030000,-0.030000,0,,,,,2.30000,0.45000,-0.45000,0,Msini,,,,,,,,,0,0,0,07h45m18.95s,116.328957,+28d01m34.3s,28.026199,10.34,0.09,-0.09,0,1.140,,0,0,V (Johnson),4946.00,18.00,-18.00,0,0,2.10,0.08,-0.08,0,0,8.31,0.09,-0.09,0,0,2015-03-26,,,,,2006,5.00,K0 III,,0,0,1.590,0.040,-0.040,0,0,1.000,,0,0
