rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_disc,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_bmvj,st_bmvjerr,st_bmvjlim,st_bmvjblend
1,11 Com,b,Radial Velocity,1,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,0.231000,0.005000,-0.005000,0,,,,,19.40000,1.50000,-1.50000,0,Msini,,,,,,,,,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,9.61,-11.63,0,4.740,,0,0,V (Johnson),4742.00,100.00,-100.00,0,0,2.70,0.30,-0.30,0,0,19.00,2.00,-2.00,0,0,2014-05-14,,,,,2007,5.00,K0 III,,0,0,2.243,0.071,-0.085,0,0,1.010,,0,0
2,11 UMi,b,Radial Velocity,1,516.22000000,3.25000000,-3.25000000,0,1.540000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,,,,,10.50000,2.47000,-2.47000,0,Msini,,,,,,,,,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,6.22,-6.95,0,5.016,0.009,0,0,V (Johnson),4340.00,70.00,-70.00,0,0,1.80,0.25,-0.25,0,0,24.08,1.84,-1.84,0,0,2014-05-14,,,,,2009,5.40,K4 III,,0,0,,,,,,1.369,0.017,0,0
3,14 And,b,Radial Velocity,1,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,0.000000,,,0,,,,,4.80000,,,0,Msini,,,,,,,,,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,3.93,-4.38,0,,,,,,4813.00,20.00,-20.00,0,0,2.20,0.10,-0.20,0,0,11.00,1.00,-1.00,0,0,2014-05-14,,,,,2008,4.80,G8 III,,0,0,1.763,,,0,0,1.020,,0,0
4,14 Her,b,Radial Velocity,1,1773.40000000,2.50000000,-2.50000000,0,2.770000,0.050000,-0.050000,0,0.369000,0.005000,-0.005000,0,,,,,4.64000,0.19000,-0.19000,0,Msini,,,,,,,,,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,0.19,-0.20,0,6.610,0.020,0,0,V (Johnson),5311.00,87.00,-87.00,0,0,0.90,0.05,-0.05,0,0,,,,,0,2014-05-14,,,,,2002,5.00,K0 V,,0,0,,,,,0,0.880,0.010,0,0
5,16 Cyg B,b,Radial Velocity,1,798.50000000,1.00000000,-1.00000000,0,1.681000,0.097000,-0.097000,0,0.681000,0.017000,-0.017000,0,,,,,1.68000,0.15000,-0.15000,0,Msini,,,,,,,,,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,0,6.250,,0,0,V (Johnson),5674.00,,,0,0,0.99,,,0,0,,,,,0,2015-09-10,,,,,1996,4.25,G2.5 V,,0,0,,,,,0,0.660,,0,0
6,18 Del,b,Radial Velocity,1,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,0.080000,0.010000,-0.010000,0,,,,,10.30000,,,0,Msini,,,,,,,,,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.10,3.56,-3.94,0,,,,,,4979.00,18.00,-18.00,0,0,2.30,,,0,0,8.50,,,0,0,2014-05-14,,,,,2008,4.60,G6 III,,0,0,1.602,,,0,0,0.924,0.017,0,0
7,1RXS J160929.1-210524,b,Imaging,1,,,,,330.000000,,,0,,,,,,,,,8.00000,1.00000,-1.00000,0,Mass,,,,,,,,,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,14.00,-14.00,0,,,,,,4060.00,300.00,-200.00,0,0,0.85,0.20,-0.10,0,0,,,,,0,2015-04-01,8.00000,1.00000,-1.00000,0,2008,5.70,K7 V,,0,0,-0.370,0.150,-0.150,0,0,,,,
8,24 Sex,b,Radial Velocity,2,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,,,,,1.99000,0.26000,-0.38000,0,Msini,,,,,,,,,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.010,0,0,V (Johnson),5098.00,44.00,-44.00,0,0,1.54,0.08,-0.08,0,0,4.90,0.08,-0.08,0,0,2014-05-14,,,,,2010,5.00,K0 IV,,0,0,1.164,0.003,-0.003,0,0,0.958,0.018,0,0
9,24 Sex,c,Radial Velocity,2,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,,,,,0.86000,0.35000,-0.22000,0,Msini,,,,,,,,,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.010,0,0,V (Johnson),5098.00,44.00,-44.00,0,0,1.54,0.08,-0.08,0,0,4.90,0.08,-0.08,0,0,2014-05-14,,,,,2010,5.00,K0 IV,,0,0,1.164,0.003,-0.003,0,0,0.958,0.018,0,0
10,2MASS J01225093-2439505,b,Imaging,1,,,,,52.000000,6.000000,-6.000000,0,,,,,,,,,24.50000,2.50000,-2.50000,0,Mass,,,,,,,,,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,4.00,-4.00,0,14.240,0.070,0,0,V (Johnson),3530.00,50.00,-50.00,0,0,0.40,0.05,-0.05,0,0,,,,,,2014-05-14,24.50000,2.50000,-2.50000,0,2013,6.35,M3.5 V,,0,0,-1.720,0.110,-0.110,0,0,,,,
11,2MASS J02192210-3925225,b,Imaging,1,,,,,156.000000,10.000000,-10.000000,0,,,,,,,,,13.90000,1.10000,-1.10000,0,Mass,1.440,0.030,-0.030,0,,,,,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,2.60,-2.60,0,,,,,,3064.00,76.00,-76.00,0,0,0.11,0.01,-0.01,0,0,0.28,0.01,-0.01,0,0,2015-05-14,13.90000,1.10000,-1.10000,0,2015,6.60,M6,,0,0,-2.230,0.060,-0.060,0,0,,,,
12,2MASS J04414489+2301513,b,Imaging,1,,,,,15.000000,,,0,,,,,,,,,7.50000,2.50000,-2.50000,0,Mass,,,,,,,,,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,,,0,,,,,,,,,,,0.02,,,0,0,,,,,,2014-05-14,7.50000,2.50000,-2.50000,0,2010,6.85,M8.5,,0,0,,,,,,,,,
13,2MASS J12073346-3932539,b,Imaging,1,,,,,46.000000,5.000000,-5.000000,0,,,,,,,,,4.00000,1.00000,-1.00000,0,Mass,,,,,,,,,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.40,1.10,-1.10,0,20.150,0.190,0,0,V (Johnson),,,,,,0.02,,,0,0,,,,,,2014-05-14,4.00000,1.00000,-1.00000,0,2004,6.80,M8,,0,0,,,,,,,,,
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,,,,,1.90000,0.10000,-0.10000,0,Mass,,,,,,,,,0,1,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,,,,,12.264,,0,0,Kepler-band,,,,,0,0.48,0.03,-0.03,0,0,,,,,0,2015-06-04,1.90000,0.10000,-0.10000,0,2015,,,,,,,,,,0,,,,
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.50000000,1934.50000000,-584.00000000,0,,,,,0.260000,0.060000,-0.060000,0,46.200,2.500,-8.700,0,20.95000,83.79000,-20.95000,0,Mass,0.920,0.390,-0.360,0,,,,,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,10.00,-10.00,0,,,,,,2300.00,80.00,-80.00,0,0,0.08,0.06,-0.06,0,0,0.12,0.05,-0.04,0,0,2014-05-14,20.95000,83.79000,-20.95000,0,2009,6.85,M8.5,,0,0,-3.480,0.350,-0.350,0,0,,,,
16,30 Ari B,b,Radial Velocity,1,335.10000000,2.50000000,-2.50000000,0,0.995000,0.012000,-0.012000,0,0.289000,0.092000,-0.092000,0,,,,,9.88000,0.94000,-0.94000,0,Msini,,,,,,,,,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,1.64,-1.79,0,,,,,,6300.00,60.00,-60.00,0,0,1.16,0.04,-0.04,0,0,1.13,0.03,-0.03,0,0,2014-05-14,,,,,2009,3.60,F6 V,,0,0,,,,,,0.496,0.019,0,0
17,4 UMa,b,Radial Velocity,1,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,0.432000,0.024000,-0.024000,0,,,,,7.10000,1.60000,-1.60000,0,Msini,,,,,,,,,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.40,4.03,-4.50,0,4.610,,0,0,V (Johnson),4415.00,70.00,-70.00,0,0,1.23,0.15,-0.15,0,0,18.11,1.47,-1.47,0,0,2014-05-14,,,,,2006,5.10,K1 III,,0,0,,,,,,1.170,,0,0
18,42 Dra,b,Radial Velocity,1,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,0.380000,0.060000,-0.060000,0,,,,,3.88000,0.85000,-0.85000,0,Msini,,,,,,,,,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.34,-4.76,0,4.820,,0,0,V (Johnson),4200.00,70.00,-70.00,0,0,0.98,0.05,-0.05,0,0,22.03,1.00,-1.00,0,0,2014-05-14,,,,,2008,5.15,K1.5 III,,0,0,,,,,,1.190,,0,0
19,47 UMa,b,Radial Velocity,3,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,,,,,2.53000,0.07000,-0.06000,0,Msini,,,,,,,,,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.050,,0,0,V (Johnson),5892.00,70.00,-70.00,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0,2014-05-14,,,,,1996,4.00,G0 V,,0,0,,,,,,0.610,,0,0
20,47 UMa,c,Radial Velocity,3,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,,,,,0.54000,0.06600,-0.07300,0,Msini,,,,,,,,,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.050,,0,0,V (Johnson),5892.00,70.00,-70.00,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0,2014-05-14,,,,,2001,4.00,G0 V,,0,0,,,,,,0.610,,0,0
21,47 UMa,d,Radial Velocity,3,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,,,,,1.64000,0.29000,-0.48000,0,Msini,,,,,,,,,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.050,,0,0,V (Johnson),5892.00,70.00,-70.00,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0,2014-05-14,,,,,2009,4.00,G0 V,,0,0,,,,,,0.610,,0,0
22,51 Eri,b,Imaging,1,,,,0,13.200000,0.200000,-0.200000,0,,,,,,,,,2.00000,,,0,Mass,,,,,,,,,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,0.30,-0.30,0,5.230,,0,0,V (Johnson),,,,,0,1.75,0.05,-0.05,0,0,,,,,0,2015-08-14,2.00000,,,0,2015,3.00,F0 IV,,0,0,0.850,0.060,-0.060,0,0,0.280,,0,0
23,51 Peg,b,Radial Velocity,1,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,,,,,0.47200,0.03900,-0.03900,0,Msini,,,,,,,,,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,0.18,-0.18,0,5.500,,0,0,V (Johnson),5793.00,70.00,-70.00,0,0,1.12,0.06,-0.06,0,0,1.20,,,0,0,2014-05-14,,,,,1995,4.25,G2.5 IV,,0,0,,,,,,0.670,,0,0
24,55 Cnc,b,Radial Velocity,5,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,0.003400,0.003200,-0.003200,0,90.000,,,0,0.83060,0.00330,-0.00330,0,Mass,,,,,,,,,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.960,0.010,0,0,V (Johnson),5196.00,24.00,-24.00,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29,0.83060,0.00330,-0.00330,0,1996,4.80,G8 V,,0,0,-0.235,0.010,-0.011,0,0,0.870,0.010,0,0
25,55 Cnc,c,Radial Velocity,5,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,0.020000,0.031000,-0.031000,0,90.000,,,0,0.17140,0.00550,-0.00550,0,Mass,,,,,,,,,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.960,0.010,0,0,V (Johnson),5196.00,24.00,-24.00,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29,0.17140,0.00550,-0.00550,0,2004,4.80,G8 V,,0,0,-0.235,0.010,-0.011,0,0,0.870,0.010,0,0
26,55 Cnc,d,Radial Velocity,5,4825.00000000,39.00000000,-39.00000000,0,5.503000,0.030000,-0.030000,0,0.019000,0.013000,-0.013000,0,90.000,,,0,3.87800,0.06800,-0.06800,0,Mass,,,,,,,,,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.960,0.010,0,0,V (Johnson),5196.00,24.00,-24.00,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29,3.87800,0.06800,-0.06800,0,2002,4.80,G8 V,,0,0,-0.235,0.010,-0.011,0,0,0.870,0.010,0,0
27,55 Cnc,e,Radial Velocity,5,0.73655150,0.00000150,-0.00000150,0,0.015691,0.000000,0.000000,0,0.040000,0.027000,-0.027000,0,90.000,,,0,0.02561,0.00073,-0.00073,0,Mass,,,,,,,,,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.960,0.010,0,0,V (Johnson),5196.00,24.00,-24.00,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29,0.02561,0.00073,-0.00073,0,2004,4.80,G8 V,,0,0,-0.235,0.010,-0.011,0,0,0.870,0.010,0,0
28,55 Cnc,f,Radial Velocity,5,262.00000000,0.51000000,-0.51000000,0,0.788000,0.001000,-0.001000,0,0.305000,0.075000,-0.075000,0,90.000,,,0,0.14100,0.01200,-0.01200,0,Mass,,,,,,,,,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.960,0.010,0,0,V (Johnson),5196.00,24.00,-24.00,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29,0.14100,0.01200,-0.01200,0,2007,4.80,G8 V,,0,0,-0.235,0.010,-0.011,0,0,0.870,0.010,0,0
29,6 Lyn,b,Radial Velocity,1,874.77400000,16.27000000,-8.47000000,0,2.180000,0.050000,-0.060000,0,0.125000,,,1,,,,,2.21000,0.11000,-0.16000,0,Msini,,,,,,,,,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,2.36,-2.58,0,,,,,,4978.00,18.00,-18.00,0,0,1.70,0.10,-0.20,0,0,5.20,0.40,-0.30,0,0,2015-09-03,,,,,2008,5.00,K0 III-IV,,0,0,1.176,,,0,0,0.940,,0,0
30,61 Vir,b,Radial Velocity,3,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,,,,,0.01600,0.00200,-0.00200,0,Msini,,,,,,,,,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.740,,0,0,V (Johnson),5577.00,33.00,-33.00,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0,2014-05-14,,,,,2009,4.70,G7 V,,0,0,-0.095,0.003,-0.003,0,0,0.710,,0,0
31,61 Vir,c,Radial Velocity,3,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,,,,,0.05700,0.00300,-0.00300,0,Msini,,,,,,,,,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.740,,0,0,V (Johnson),5577.00,33.00,-33.00,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0,2014-05-14,,,,,2009,4.70,G7 V,,0,0,-0.095,0.003,-0.003,0,0,0.710,,0,0
32,61 Vir,d,Radial Velocity,3,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,,,,,0.07200,0.00800,-0.00800,0,Msini,,,,,,,,,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.740,,0,0,V (Johnson),5577.00,33.00,-33.00,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0,2014-05-14,,,,,2009,4.70,G7 V,,0,0,-0.095,0.003,-0.003,0,0,0.710,,0,0
33,7 CMa,b,Radial Velocity,1,796.00000000,7.40000000,-7.40000000,0,1.930000,0.010000,-0.010000,0,0.220000,0.070000,-0.070000,0,,,,,2.46000,0.14000,-0.14000,0,Msini,,,,,,,,,0,0,0,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.84,0.27,-0.28,0,3.920,,0,0,V (Johnson),4792.00,100.00,-100.00,0,0,1.52,0.30,-0.30,0,0,2.30,0.10,-0.10,0,0,2015-10-22,,,,,2011,5.10,K1 III,,0,0,1.053,0.011,-0.012,0,0,1.050,,0,0
34,70 Vir,b,Radial Velocity,1,116.69260000,0.00140000,-0.00140000,0,0.481000,0.003000,-0.003000,0,0.399000,0.002000,-0.002000,0,,,,,7.40000,0.02000,-0.02000,0,Msini,,,,,,,,,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,0.24,-0.24,0,4.980,,0,0,V (Johnson),5439.00,44.00,-44.00,0,0,1.09,0.02,-0.02,0,0,1.94,0.05,-0.05,0,0,2015-04-24,,,,,1996,4.40,G4 V,,0,0,0.451,0.009,-0.010,,0,0.710,,0,0
35,75 Cet,b,Radial Velocity,1,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,0.117000,0.048000,-0.048000,0,,,,,3.00000,,,0,Msini,,,,,,,,,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.50,6.87,-8.27,0,5.350,,0,0,V (Johnson),4846.00,18.00,-18.00,0,0,2.49,0.02,-0.27,0,0,10.50,1.00,-1.00,0,0,2015-09-03,,,,,2012,4.30,G3 III,,0,0,1.730,,,0,0,1.020,,0,0
36,8 UMi,b,Radial Velocity,1,93.40000000,4.50000000,-4.50000000,0,0.490000,0.030000,-0.030000,0,0.060000,0.180000,-0.180000,0,,,,,1.50000,0.20000,-0.20000,0,Msini,,,,,,,,,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.10,11.00,-11.00,0,6.830,,0,0,V (Johnson),4847.40,7.50,-7.50,0,0,1.80,0.10,-0.10,0,0,9.90,0.40,-0.40,0,0,2015-10-15,,,,,2015,5.00,K0,,0,0,,,,,0,0.985,0.010,0,0
37,81 Cet,b,Radial Velocity,1,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,0.206000,0.029000,-0.029000,0,,,,,5.30000,,,0,Msini,,,,,,,,,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,8.37,-10.11,0,5.650,,0,0,V (Johnson),4785.00,25.00,-25.00,0,0,2.40,0.10,-0.40,0,0,11.00,2.00,-1.00,0,0,2014-05-14,,,,,2008,4.50,G5 III,,0,0,1.778,,,0,0,1.020,,0,0
38,91 Aqr,b,Radial Velocity,1,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,0.027000,0.026000,-0.026000,0,,,,,3.20000,,,0,Msini,,,,,,,,,0,0,0,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,45.52,1.77,-1.92,0,4.250,,0,0,V (Johnson),4665.00,18.00,-18.00,0,0,1.40,0.10,-0.10,0,0,11.00,0.10,-0.10,0,0,2014-05-14,,,,,2013,5.00,K0 III,,0,0,,,,,,1.110,,0,0
39,AB Pic,b,Imaging,1,,,,,260.000000,,,0,,,,,,,,,13.50000,0.50000,-0.50000,0,Mass,,,,,,,,,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,45.52,1.64,-1.76,0,9.128,0.019,0,0,V (Johnson),,,,,,,,,,,,,,,,2014-05-14,13.50000,0.50000,-0.50000,0,2005,5.20,K2 V,,0,0,,,,,,0.883,0.033,0,0
40,BD+14 4559,b,Radial Velocity,1,268.94000000,0.99000000,-0.99000000,0,0.777000,,,0,0.290000,0.030000,-0.030000,0,,,,,1.47000,,,0,Msini,,,,,,,,,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,50.03,3.73,-4.38,0,9.630,0.012,0,0,V (Johnson),5008.00,20.00,-20.00,0,0,0.86,0.15,-0.15,0,0,0.95,0.20,-0.20,0,0,2014-05-14,,,,,2009,5.20,K2 V,,0,0,-0.320,,,0,0,0.997,0.066,0,0
41,BD+15 2940,b,Radial Velocity,1,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,0.260000,0.100000,-0.100000,0,,,,,1.11000,,,0,Msini,,,,,,,,,0,0,0,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,175.44,,,-1,9.046,0.021,0,0,V (Johnson),4796.00,117.00,-117.00,0,0,1.10,0.20,-0.20,0,0,14.70,2.80,-2.80,0,0,2014-05-14,,,,,2013,5.00,K0,,0,0,2.010,0.750,-0.750,0,0,1.075,0.043,0,0
42,BD+20 1790,b,Radial Velocity,1,7.78287000,0.00077000,-0.00076000,0,0.066000,0.005000,-0.006000,0,0.220000,0.070000,-0.090000,0,,,,,6.37000,1.35000,-1.35000,0,Msini,,,,,,,,,0,0,0,07h23m43.59s,110.931612,+20d24m58.8s,20.416334,25.40,4.00,-4.00,0,,,,,,4410.00,,,0,0,0.63,0.09,-0.09,0,0,0.71,0.03,-0.03,0,0,2015-03-26,,,,,2010,5.50,K5 V,,0,0,-0.770,0.090,-0.100,0,0,,,,
43,BD+20 2457,b,Radial Velocity,2,379.63000000,2.01000000,-2.01000000,0,1.450000,,,0,0.150000,0.030000,-0.030000,0,,,,,21.42000,,,0,Msini,,,,,,,,,0,0,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,,,,,9.750,,0,0,V (Johnson),4137.00,10.00,-10.00,0,0,2.80,1.50,-1.50,0,0,49.00,26.00,-26.00,0,0,2014-05-14,,,,,2009,5.20,K2 II,,0,0,3.170,,,0,0,,,,
44,BD+20 2457,c,Radial Velocity,2,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,0.180000,0.060000,-0.060000,0,,,,,12.47000,,,0,Msini,,,,,,,,,0,0,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,,,,,9.750,,0,0,V (Johnson),4137.00,10.00,-10.00,0,0,2.80,1.50,-1.50,0,0,49.00,26.00,-26.00,0,0,2014-05-14,,,,,2009,5.20,K2 II,,0,0,3.170,,,0,0,,,,
45,BD+20 274,b,Radial Velocity,1,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,0.210000,0.060000,-0.060000,0,,,,,4.20000,,,0,Msini,,,,,,,,,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,,,,,9.360,,0,0,V (Johnson),4296.00,10.00,-10.00,0,0,0.80,0.20,-0.20,0,0,17.30,0.90,-0.90,0,0,2015-09-18,,,,,2012,5.50,K5 III,,0,0,1.960,0.180,-0.180,0,0,1.358,0.067,0,0
46,BD+48 738,b,Radial Velocity,1,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,0.200000,0.100000,-0.100000,0,,,,,0.91000,,,0,Msini,,,,,,,,,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,,,,,9.140,,0,0,V (Johnson),4414.00,15.00,-15.00,0,0,0.74,0.39,-0.39,0,0,11.00,1.00,-1.00,0,0,2015-08-13,,,,,2011,5.00,K0 III,,0,0,1.690,0.330,-0.330,0,0,,,,
47,BD+49 828,b,Radial Velocity,1,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,0.350000,0.240000,-0.100000,0,,,,,1.60000,0.40000,-0.20000,0,Msini,,,,,,,,,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,,,,,9.380,0.020,0,0,V (Johnson),4943.00,30.00,-30.00,0,0,1.52,0.22,-0.22,0,0,7.60,1.30,-1.30,0,0,2015-02-05,,,,,2015,5.00,K0,,0,0,1.470,0.130,-0.130,0,0,0.050,0.040,0,0
48,BD-06 1339,b,Radial Velocity,2,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,0.000000,,,0,,,,,0.02700,0.00400,-0.00400,0,Msini,,,,,,,,,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.10,0.65,-0.69,0,9.700,0.009,0,0,V (Johnson),4324.00,100.00,-100.00,0,0,0.70,,,0,0,,,,,,2014-05-14,,,,,2013,5.85,K7/M0 V,,0,0,-1.022,0.043,-0.048,0,0,1.330,0.009,0,0
49,BD-06 1339,c,Radial Velocity,2,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,0.310000,0.110000,-0.110000,0,,,,,0.17000,0.03000,-0.03000,0,Msini,,,,,,,,,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.10,0.65,-0.69,0,9.700,0.009,0,0,V (Johnson),4324.00,100.00,-100.00,0,0,0.70,,,0,0,,,,,,2014-05-14,,,,,2013,5.85,K7/M0 V,,0,0,-1.022,0.043,-0.048,0,0,1.330,0.009,0,0
50,BD-08 2823,b,Radial Velocity,2,5.60000000,0.02000000,-0.02000000,0,0.056000,0.002000,-0.002000,0,0.150000,0.150000,-0.150000,0,,,,,0.04500,0.00700,-0.00700,0,Msini,,,,,,,,,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,42.09,2.67,-3.06,0,9.880,0.043,0,0,V (Johnson),4746.00,63.00,-63.00,0,0,0.74,0.07,-0.07,0,0,,,,,,2014-05-14,,,,,2009,5.30,K3 V,,0,0,,,,,,0.999,0.085,0,0
